endpoint,policy,records,observed_labels
herg_blockade,remove_conflicts,12949,12949
herg_blockade,majority_vote,12966,12950
herg_blockade,uncertain,12966,12949
ames_mutagenicity,remove_conflicts,7246,7246
ames_mutagenicity,majority_vote,7248,7246
ames_mutagenicity,uncertain,7248,7246
SR-p53,remove_conflicts,7607,6583
SR-p53,majority_vote,7612,6584
SR-p53,uncertain,7612,6583
SR-ATAD5,remove_conflicts,7610,6869
SR-ATAD5,majority_vote,7612,6870
SR-ATAD5,uncertain,7612,6869
SR-ARE,remove_conflicts,7596,5666
SR-ARE,majority_vote,7612,5673
SR-ARE,uncertain,7612,5666
SR-MMP,remove_conflicts,7604,5649
SR-MMP,majority_vote,7612,5651
SR-MMP,uncertain,7612,5649
