endpoint,scaffold_split,records,observed,positives
SR-ARE,test,1142,847,174
SR-ARE,train,5527,4139,620
SR-ARE,validation,927,680,112
SR-ATAD5,test,1147,1027,66
SR-ATAD5,train,5534,5013,158
SR-ATAD5,validation,929,829,36
SR-MMP,test,1147,842,186
SR-MMP,train,5529,4130,596
SR-MMP,validation,928,677,114
SR-p53,test,1147,986,84
SR-p53,train,5532,4811,269
SR-p53,validation,928,786,60
ames_mutagenicity,test,1120,1120,613
ames_mutagenicity,train,5015,5015,2662
ames_mutagenicity,validation,1111,1111,670
herg_blockade,test,1883,1883,955
herg_blockade,train,8971,8971,4369
herg_blockade,validation,2095,2095,1152
