molecule_a,molecule_b,tanimoto,label_a,label_b,endpoint
ONJQDTZCDSESIW-UHFFFAOYSA-N,UPGSWASWQBLSKZ-UHFFFAOYSA-N,0.95,1.0,0.0,SR-ARE
ONJQDTZCDSESIW-UHFFFAOYSA-N,GZMAAYIALGURDQ-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
ONJQDTZCDSESIW-UHFFFAOYSA-N,ICIDSZQHPUZUHC-UHFFFAOYSA-N,0.95,1.0,0.0,SR-ARE
ONJQDTZCDSESIW-UHFFFAOYSA-N,SFNALCNOMXIBKG-UHFFFAOYSA-N,0.95,1.0,0.0,SR-ARE
XFRVVPUIAFSTFO-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
REIUXOLGHVXAEO-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
SNGREZUHAYWORS-UHFFFAOYSA-N,PXUULQAPEKKVAH-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
IMNFDUFMRHMDMM-UHFFFAOYSA-N,DIOQZVSQGTUSAI-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
KEQFTVQCIQJIQW-UHFFFAOYSA-N,VETPHHXZEJAYOB-UHFFFAOYSA-N,0.9047619047619048,1.0,0.0,SR-ARE
LTHJXDSHSVNJKG-UHFFFAOYSA-N,XFCMNSHQOZQILR-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
LTHJXDSHSVNJKG-UHFFFAOYSA-N,HWSSEYVMGDIFMH-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
LTHJXDSHSVNJKG-UHFFFAOYSA-N,STVZJERGLQHEKB-UHFFFAOYSA-N,0.85,1.0,0.0,SR-ARE
UZUFPBIDKMEQEQ-UHFFFAOYSA-N,PXUULQAPEKKVAH-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
DWRKFAJEBUWTQM-UHFFFAOYSA-N,STJLVHWMYQXCPB-UHFFFAOYSA-N,0.8653846153846154,0.0,1.0,SR-ARE
JHIVVAPYMSGYDF-UHFFFAOYSA-N,SXVPOSFURRDKBO-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
BFSVOASYOCHEOV-UHFFFAOYSA-N,AKNUHUCEWALCOI-UHFFFAOYSA-N,0.8666666666666667,0.0,1.0,SR-ARE
MWKFXSUHUHTGQN-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
BKIMMITUMNQMOS-UHFFFAOYSA-N,DIOQZVSQGTUSAI-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
YNPNZTXNASCQKK-UHFFFAOYSA-N,WDECIBYCCFPHNR-UHFFFAOYSA-N,0.8571428571428571,0.0,1.0,SR-ARE
TVMXDCGIABBOFY-UHFFFAOYSA-N,DIOQZVSQGTUSAI-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
HIGQPQRQIQDZMP-DHZHZOJOSA-N,ZGIGZINMAOQWLX-NCZFFCEISA-N,0.9285714285714286,0.0,1.0,SR-ARE
