endpoint,applicability_domain,n,supported,accuracy
SR-ARE,borderline,312,213,0.5705128205128205
SR-ARE,inside,433,336,0.6697459584295612
SR-ARE,outside,102,0,0.0
SR-ATAD5,borderline,371,351,0.8652291105121294
SR-ATAD5,inside,545,511,0.8844036697247707
SR-ATAD5,outside,111,0,0.0
SR-MMP,borderline,293,226,0.6450511945392492
SR-MMP,inside,439,364,0.7380410022779044
SR-MMP,outside,110,0,0.0
SR-p53,borderline,348,299,0.7988505747126436
SR-p53,inside,525,482,0.8704761904761905
SR-p53,outside,113,0,0.0
ames_mutagenicity,borderline,304,180,0.4769736842105263
ames_mutagenicity,inside,758,533,0.5963060686015831
ames_mutagenicity,outside,58,0,0.0
herg_blockade,borderline,298,189,0.42953020134228187
herg_blockade,inside,1462,1157,0.6381668946648427
herg_blockade,outside,123,0,0.0
