endpoint,fingerprint_bit,coefficient,absolute_coefficient,association_direction
SR-ARE,1057,-1.5964513754355785,1.5964513754355785,negative
SR-ARE,1911,1.0712810506038382,1.0712810506038382,positive
SR-ARE,769,-1.0057814385718047,1.0057814385718047,negative
SR-ARE,1679,0.9313504188518685,0.9313504188518685,positive
SR-ARE,650,-0.8781312816888411,0.8781312816888411,negative
SR-ARE,926,-0.8666140986964121,0.8666140986964121,negative
SR-ARE,210,-0.8246749473394155,0.8246749473394155,negative
SR-ARE,1609,0.8154372998097302,0.8154372998097302,positive
SR-ARE,1928,-0.8130586453919719,0.8130586453919719,negative
SR-ARE,1920,-0.7855199993090358,0.7855199993090358,negative
SR-ARE,441,-0.7793689821053388,0.7793689821053388,negative
SR-ARE,1418,-0.7749392402948042,0.7749392402948042,negative
SR-ARE,1444,0.7748796283801822,0.7748796283801822,positive
SR-ARE,227,-0.7587904874665446,0.7587904874665446,negative
SR-ARE,80,-0.7482290288466008,0.7482290288466008,negative
SR-ARE,1386,-0.7324189107154072,0.7324189107154072,negative
SR-ARE,233,0.732083865269938,0.732083865269938,positive
SR-ARE,378,-0.7255721135537266,0.7255721135537266,negative
SR-ARE,225,0.7195423873608894,0.7195423873608894,positive
SR-ARE,1308,-0.7164663507656511,0.7164663507656511,negative
SR-ARE,1073,0.7149380707961034,0.7149380707961034,positive
SR-ARE,202,0.7075184430224603,0.7075184430224603,positive
SR-ARE,1607,0.7006313194829191,0.7006313194829191,positive
SR-ARE,703,0.6937329660010338,0.6937329660010338,positive
SR-ARE,1537,-0.6859319013823131,0.6859319013823131,negative
SR-ARE,1036,-0.6828622023895096,0.6828622023895096,negative
SR-ARE,778,0.6801371306568368,0.6801371306568368,positive
SR-ARE,268,-0.6753941760497187,0.6753941760497187,negative
SR-ARE,1004,-0.6699219364184223,0.6699219364184223,negative
SR-ARE,1523,0.6538678921985247,0.6538678921985247,positive
