endpoint,fingerprint_bit,coefficient,absolute_coefficient,association_direction
SR-MMP,1057,-1.437253982510198,1.437253982510198,negative
SR-MMP,1602,1.3623322369191158,1.3623322369191158,positive
SR-MMP,650,-1.022630042733625,1.022630042733625,negative
SR-MMP,80,-1.0104711634680985,1.0104711634680985,negative
SR-MMP,513,1.0044560823535886,1.0044560823535886,positive
SR-MMP,1581,0.8132534566783178,0.8132534566783178,positive
SR-MMP,926,-0.8078079402458186,0.8078079402458186,negative
SR-MMP,233,-0.7982481340455154,0.7982481340455154,negative
SR-MMP,1444,0.7265888990860389,0.7265888990860389,positive
SR-MMP,1616,-0.7200491633442547,0.7200491633442547,negative
SR-MMP,184,0.7180701903714284,0.7180701903714284,positive
SR-MMP,192,-0.7072629867710265,0.7072629867710265,negative
SR-MMP,718,0.6894828952402126,0.6894828952402126,positive
SR-MMP,260,0.6873643795101507,0.6873643795101507,positive
SR-MMP,1816,0.6773726545924096,0.6773726545924096,positive
SR-MMP,2022,0.653941633564304,0.653941633564304,positive
SR-MMP,644,0.6504489677821815,0.6504489677821815,positive
SR-MMP,1831,-0.6433062031456578,0.6433062031456578,negative
SR-MMP,841,-0.6420128209246151,0.6420128209246151,negative
SR-MMP,1138,-0.6386923618094185,0.6386923618094185,negative
SR-MMP,1249,0.6363757532785742,0.6363757532785742,positive
SR-MMP,1518,0.6324768260393083,0.6324768260393083,positive
SR-MMP,1304,-0.6313163677324598,0.6313163677324598,negative
SR-MMP,1339,0.6300485453452268,0.6300485453452268,positive
SR-MMP,690,0.6282037511396918,0.6282037511396918,positive
SR-MMP,1672,0.6264743124070978,0.6264743124070978,positive
SR-MMP,1683,-0.5985997481732854,0.5985997481732854,negative
SR-MMP,227,-0.5848396149469919,0.5848396149469919,negative
SR-MMP,287,-0.5841807298834332,0.5841807298834332,negative
SR-MMP,1729,0.5799975426406633,0.5799975426406633,positive
