endpoint,fingerprint_bit,coefficient,absolute_coefficient,association_direction
SR-p53,1057,-0.9455642733453857,0.9455642733453857,negative
SR-p53,738,0.6960142176006233,0.6960142176006233,positive
SR-p53,1431,0.6363920719328111,0.6363920719328111,positive
SR-p53,1380,-0.5947407634215005,0.5947407634215005,negative
SR-p53,102,0.5919898996668285,0.5919898996668285,positive
SR-p53,650,-0.581655662981527,0.581655662981527,negative
SR-p53,1249,0.5665314648747083,0.5665314648747083,positive
SR-p53,762,0.5507112978248322,0.5507112978248322,positive
SR-p53,926,-0.5349604255566176,0.5349604255566176,negative
SR-p53,326,0.5153031842867367,0.5153031842867367,positive
SR-p53,1802,0.5047785089915875,0.5047785089915875,positive
SR-p53,389,-0.49556096659781096,0.49556096659781096,negative
SR-p53,1689,0.4858490973824242,0.4858490973824242,positive
SR-p53,811,-0.4828642366153906,0.4828642366153906,negative
SR-p53,1565,0.4822939089966328,0.4822939089966328,positive
SR-p53,1163,-0.4767022519339759,0.4767022519339759,negative
SR-p53,197,-0.46096137022365014,0.46096137022365014,negative
SR-p53,1729,0.4501283695368392,0.4501283695368392,positive
SR-p53,222,-0.44806560908358967,0.44806560908358967,negative
SR-p53,80,-0.4453463168846462,0.4453463168846462,negative
SR-p53,843,0.4383812058341386,0.4383812058341386,positive
SR-p53,1040,0.43565302741023065,0.43565302741023065,positive
SR-p53,1101,0.4334336069374684,0.4334336069374684,positive
SR-p53,1313,0.4329037242739458,0.4329037242739458,positive
SR-p53,1283,-0.43233337688114953,0.43233337688114953,negative
SR-p53,1449,-0.43174920764423513,0.43174920764423513,negative
SR-p53,408,0.42899171311698703,0.42899171311698703,positive
SR-p53,1985,-0.42820763467781203,0.42820763467781203,negative
SR-p53,1361,0.42524670044500484,0.42524670044500484,positive
SR-p53,199,0.4232785537630068,0.4232785537630068,positive
