endpoint,fingerprint_bit,coefficient,absolute_coefficient,association_direction
ames_mutagenicity,1666,1.5932480861652956,1.5932480861652956,positive
ames_mutagenicity,979,1.4859873524926441,1.4859873524926441,positive
ames_mutagenicity,1291,1.4331897454555784,1.4331897454555784,positive
ames_mutagenicity,238,1.423585415228203,1.423585415228203,positive
ames_mutagenicity,392,-1.2763786796931216,1.2763786796931216,negative
ames_mutagenicity,802,1.2684643675185967,1.2684643675185967,positive
ames_mutagenicity,1531,1.246053030579969,1.246053030579969,positive
ames_mutagenicity,878,1.2449455077569802,1.2449455077569802,positive
ames_mutagenicity,728,1.23229233193183,1.23229233193183,positive
ames_mutagenicity,1657,1.232173754200239,1.232173754200239,positive
ames_mutagenicity,609,1.1748143712765529,1.1748143712765529,positive
ames_mutagenicity,64,1.1643336460960696,1.1643336460960696,positive
ames_mutagenicity,1419,1.1619944355290701,1.1619944355290701,positive
ames_mutagenicity,1694,1.1411336199977562,1.1411336199977562,positive
ames_mutagenicity,1553,1.1396944500351704,1.1396944500351704,positive
ames_mutagenicity,321,1.1306750922140916,1.1306750922140916,positive
ames_mutagenicity,529,-1.125099009536309,1.125099009536309,negative
ames_mutagenicity,307,-1.119808279478336,1.119808279478336,negative
ames_mutagenicity,1270,-1.1092279815748434,1.1092279815748434,negative
ames_mutagenicity,1300,1.0984507592323034,1.0984507592323034,positive
ames_mutagenicity,1453,-1.0981934120514387,1.0981934120514387,negative
ames_mutagenicity,1368,1.088906935939351,1.088906935939351,positive
ames_mutagenicity,334,-1.0638510736587605,1.0638510736587605,negative
ames_mutagenicity,80,-1.0504009982861016,1.0504009982861016,negative
ames_mutagenicity,1683,1.0463262793811912,1.0463262793811912,positive
ames_mutagenicity,1382,-1.041121324843094,1.041121324843094,negative
ames_mutagenicity,1458,-1.0297271962098373,1.0297271962098373,negative
ames_mutagenicity,1317,1.0276604324175804,1.0276604324175804,positive
ames_mutagenicity,1519,-1.0115728950272878,1.0115728950272878,negative
ames_mutagenicity,1204,0.9991769502375814,0.9991769502375814,positive
