endpoint_a,endpoint_b,n_bits_a,n_bits_b,shared_bits,union_bits,jaccard_top_bits
herg_blockade,herg_blockade,30,30,30,30,1.0
herg_blockade,ames_mutagenicity,30,30,0,60,0.0
herg_blockade,SR-p53,30,30,3,57,0.05263157894736842
herg_blockade,SR-ATAD5,30,30,1,59,0.01694915254237288
herg_blockade,SR-ARE,30,30,1,59,0.01694915254237288
herg_blockade,SR-MMP,30,30,0,60,0.0
ames_mutagenicity,herg_blockade,30,30,0,60,0.0
ames_mutagenicity,ames_mutagenicity,30,30,30,30,1.0
ames_mutagenicity,SR-p53,30,30,1,59,0.01694915254237288
ames_mutagenicity,SR-ATAD5,30,30,1,59,0.01694915254237288
ames_mutagenicity,SR-ARE,30,30,1,59,0.01694915254237288
ames_mutagenicity,SR-MMP,30,30,2,58,0.034482758620689655
SR-p53,herg_blockade,30,30,3,57,0.05263157894736842
SR-p53,ames_mutagenicity,30,30,1,59,0.01694915254237288
SR-p53,SR-p53,30,30,30,30,1.0
SR-p53,SR-ATAD5,30,30,7,53,0.1320754716981132
SR-p53,SR-ARE,30,30,4,56,0.07142857142857142
SR-p53,SR-MMP,30,30,6,54,0.1111111111111111
SR-ATAD5,herg_blockade,30,30,1,59,0.01694915254237288
SR-ATAD5,ames_mutagenicity,30,30,1,59,0.01694915254237288
SR-ATAD5,SR-p53,30,30,7,53,0.1320754716981132
SR-ATAD5,SR-ATAD5,30,30,30,30,1.0
SR-ATAD5,SR-ARE,30,30,4,56,0.07142857142857142
SR-ATAD5,SR-MMP,30,30,6,54,0.1111111111111111
SR-ARE,herg_blockade,30,30,1,59,0.01694915254237288
SR-ARE,ames_mutagenicity,30,30,1,59,0.01694915254237288
SR-ARE,SR-p53,30,30,4,56,0.07142857142857142
SR-ARE,SR-ATAD5,30,30,4,56,0.07142857142857142
SR-ARE,SR-ARE,30,30,30,30,1.0
SR-ARE,SR-MMP,30,30,7,53,0.1320754716981132
SR-MMP,herg_blockade,30,30,0,60,0.0
SR-MMP,ames_mutagenicity,30,30,2,58,0.034482758620689655
SR-MMP,SR-p53,30,30,6,54,0.1111111111111111
SR-MMP,SR-ATAD5,30,30,6,54,0.1111111111111111
SR-MMP,SR-ARE,30,30,7,53,0.1320754716981132
SR-MMP,SR-MMP,30,30,30,30,1.0
