endpoint,fingerprint_bit,coefficient,absolute_coefficient,association_direction
herg_blockade,1791,1.2133068697963125,1.2133068697963125,positive
herg_blockade,350,-0.9741876165395154,0.9741876165395154,negative
herg_blockade,1243,0.885893075958347,0.885893075958347,positive
herg_blockade,1160,0.8813642049919942,0.8813642049919942,positive
herg_blockade,1199,0.854838505220761,0.854838505220761,positive
herg_blockade,1917,-0.8205696937201937,0.8205696937201937,negative
herg_blockade,1756,-0.8169842011355201,0.8169842011355201,negative
herg_blockade,1164,-0.7715167251170431,0.7715167251170431,negative
herg_blockade,389,-0.7543332422114339,0.7543332422114339,negative
herg_blockade,881,0.7307492516250587,0.7307492516250587,positive
herg_blockade,1737,-0.7284364744499996,0.7284364744499996,negative
herg_blockade,1431,-0.7236508287732514,0.7236508287732514,negative
herg_blockade,1921,-0.6777411498191591,0.6777411498191591,negative
herg_blockade,1866,-0.6742008157189046,0.6742008157189046,negative
herg_blockade,1171,-0.6462497156042118,0.6462497156042118,negative
herg_blockade,1163,-0.6454490970187027,0.6454490970187027,negative
herg_blockade,883,-0.6317176656496749,0.6317176656496749,negative
herg_blockade,1771,-0.6312182156270522,0.6312182156270522,negative
herg_blockade,314,-0.618780914832025,0.618780914832025,negative
herg_blockade,1586,-0.6152579875392573,0.6152579875392573,negative
herg_blockade,1714,-0.610363333786048,0.610363333786048,negative
herg_blockade,1844,-0.5993541663120766,0.5993541663120766,negative
herg_blockade,441,-0.5992389628392496,0.5992389628392496,negative
herg_blockade,409,-0.5868062378383702,0.5868062378383702,negative
herg_blockade,1569,-0.5797119869474664,0.5797119869474664,negative
herg_blockade,1325,0.5754859019148452,0.5754859019148452,positive
herg_blockade,1357,0.5733322255310545,0.5733322255310545,positive
herg_blockade,338,0.572105458904867,0.572105458904867,positive
herg_blockade,407,0.5670018701777035,0.5670018701777035,positive
herg_blockade,1149,0.5660620476157487,0.5660620476157487,positive
ames_mutagenicity,1666,1.5932480861652956,1.5932480861652956,positive
ames_mutagenicity,979,1.4859873524926441,1.4859873524926441,positive
ames_mutagenicity,1291,1.4331897454555784,1.4331897454555784,positive
ames_mutagenicity,238,1.423585415228203,1.423585415228203,positive
ames_mutagenicity,392,-1.2763786796931216,1.2763786796931216,negative
ames_mutagenicity,802,1.2684643675185967,1.2684643675185967,positive
ames_mutagenicity,1531,1.246053030579969,1.246053030579969,positive
ames_mutagenicity,878,1.2449455077569802,1.2449455077569802,positive
ames_mutagenicity,728,1.23229233193183,1.23229233193183,positive
ames_mutagenicity,1657,1.232173754200239,1.232173754200239,positive
ames_mutagenicity,609,1.1748143712765529,1.1748143712765529,positive
ames_mutagenicity,64,1.1643336460960696,1.1643336460960696,positive
ames_mutagenicity,1419,1.1619944355290701,1.1619944355290701,positive
ames_mutagenicity,1694,1.1411336199977562,1.1411336199977562,positive
ames_mutagenicity,1553,1.1396944500351704,1.1396944500351704,positive
ames_mutagenicity,321,1.1306750922140916,1.1306750922140916,positive
ames_mutagenicity,529,-1.125099009536309,1.125099009536309,negative
ames_mutagenicity,307,-1.119808279478336,1.119808279478336,negative
ames_mutagenicity,1270,-1.1092279815748434,1.1092279815748434,negative
ames_mutagenicity,1300,1.0984507592323034,1.0984507592323034,positive
ames_mutagenicity,1453,-1.0981934120514387,1.0981934120514387,negative
ames_mutagenicity,1368,1.088906935939351,1.088906935939351,positive
ames_mutagenicity,334,-1.0638510736587605,1.0638510736587605,negative
ames_mutagenicity,80,-1.0504009982861016,1.0504009982861016,negative
ames_mutagenicity,1683,1.0463262793811912,1.0463262793811912,positive
ames_mutagenicity,1382,-1.041121324843094,1.041121324843094,negative
ames_mutagenicity,1458,-1.0297271962098373,1.0297271962098373,negative
ames_mutagenicity,1317,1.0276604324175804,1.0276604324175804,positive
ames_mutagenicity,1519,-1.0115728950272878,1.0115728950272878,negative
ames_mutagenicity,1204,0.9991769502375814,0.9991769502375814,positive
SR-p53,1057,-0.9455642733453857,0.9455642733453857,negative
SR-p53,738,0.6960142176006233,0.6960142176006233,positive
SR-p53,1431,0.6363920719328111,0.6363920719328111,positive
SR-p53,1380,-0.5947407634215005,0.5947407634215005,negative
SR-p53,102,0.5919898996668285,0.5919898996668285,positive
SR-p53,650,-0.581655662981527,0.581655662981527,negative
SR-p53,1249,0.5665314648747083,0.5665314648747083,positive
SR-p53,762,0.5507112978248322,0.5507112978248322,positive
SR-p53,926,-0.5349604255566176,0.5349604255566176,negative
SR-p53,326,0.5153031842867367,0.5153031842867367,positive
SR-p53,1802,0.5047785089915875,0.5047785089915875,positive
SR-p53,389,-0.49556096659781096,0.49556096659781096,negative
SR-p53,1689,0.4858490973824242,0.4858490973824242,positive
SR-p53,811,-0.4828642366153906,0.4828642366153906,negative
SR-p53,1565,0.4822939089966328,0.4822939089966328,positive
SR-p53,1163,-0.4767022519339759,0.4767022519339759,negative
SR-p53,197,-0.46096137022365014,0.46096137022365014,negative
SR-p53,1729,0.4501283695368392,0.4501283695368392,positive
SR-p53,222,-0.44806560908358967,0.44806560908358967,negative
SR-p53,80,-0.4453463168846462,0.4453463168846462,negative
SR-p53,843,0.4383812058341386,0.4383812058341386,positive
SR-p53,1040,0.43565302741023065,0.43565302741023065,positive
SR-p53,1101,0.4334336069374684,0.4334336069374684,positive
SR-p53,1313,0.4329037242739458,0.4329037242739458,positive
SR-p53,1283,-0.43233337688114953,0.43233337688114953,negative
SR-p53,1449,-0.43174920764423513,0.43174920764423513,negative
SR-p53,408,0.42899171311698703,0.42899171311698703,positive
SR-p53,1985,-0.42820763467781203,0.42820763467781203,negative
SR-p53,1361,0.42524670044500484,0.42524670044500484,positive
SR-p53,199,0.4232785537630068,0.4232785537630068,positive
SR-ATAD5,718,1.2960012870691873,1.2960012870691873,positive
SR-ATAD5,1057,-1.1125907508770772,1.1125907508770772,negative
SR-ATAD5,838,1.0502805241958038,1.0502805241958038,positive
SR-ATAD5,1249,0.8857438581987781,0.8857438581987781,positive
SR-ATAD5,703,-0.760430401100143,0.760430401100143,negative
SR-ATAD5,389,-0.7249628567153937,0.7249628567153937,negative
SR-ATAD5,1753,-0.6592286302649657,0.6592286302649657,negative
SR-ATAD5,1154,0.6261408931044575,0.6261408931044575,positive
SR-ATAD5,650,-0.5993561593319799,0.5993561593319799,negative
SR-ATAD5,1088,-0.5990150611849739,0.5990150611849739,negative
SR-ATAD5,807,-0.5903976433977572,0.5903976433977572,negative
SR-ATAD5,680,0.5850190604309312,0.5850190604309312,positive
SR-ATAD5,294,-0.5638001605364267,0.5638001605364267,negative
SR-ATAD5,794,-0.5548353624116685,0.5548353624116685,negative
SR-ATAD5,984,0.5513541851260356,0.5513541851260356,positive
SR-ATAD5,762,0.5389259458737583,0.5389259458737583,positive
SR-ATAD5,237,-0.5248235971229975,0.5248235971229975,negative
SR-ATAD5,326,0.5141133336990339,0.5141133336990339,positive
SR-ATAD5,1157,-0.5137917269002917,0.5137917269002917,negative
SR-ATAD5,1196,-0.5039478941327873,0.5039478941327873,negative
SR-ATAD5,1592,0.5003256320647985,0.5003256320647985,positive
SR-ATAD5,673,0.49799759009385985,0.49799759009385985,positive
SR-ATAD5,184,0.48631071406861676,0.48631071406861676,positive
SR-ATAD5,926,-0.4845674426573026,0.4845674426573026,negative
SR-ATAD5,1348,-0.4827936616911298,0.4827936616911298,negative
SR-ATAD5,831,-0.4825252270514536,0.4825252270514536,negative
SR-ATAD5,307,0.4778036044681967,0.4778036044681967,positive
SR-ATAD5,870,-0.47634405570831834,0.47634405570831834,negative
SR-ATAD5,996,0.4566564405520393,0.4566564405520393,positive
SR-ATAD5,1668,-0.45461124233948497,0.45461124233948497,negative
SR-ARE,1057,-1.5964513754355785,1.5964513754355785,negative
SR-ARE,1911,1.0712810506038382,1.0712810506038382,positive
SR-ARE,769,-1.0057814385718047,1.0057814385718047,negative
SR-ARE,1679,0.9313504188518685,0.9313504188518685,positive
SR-ARE,650,-0.8781312816888411,0.8781312816888411,negative
SR-ARE,926,-0.8666140986964121,0.8666140986964121,negative
