epoch,train_loss,validation_loss,learning_rate,epoch_seconds
1.0,1.3531977783275555,1.5698386155641997,0.001,8.214455299952533
2.0,1.3244885153408292,1.5619619626265306,0.001,7.12926969997352
3.0,1.3097020127350771,1.6680623659720788,0.001,7.64483599999221
4.0,1.2301560263090496,1.737680957867549,0.001,8.056419200031087
5.0,1.2429394186297549,1.58865598990367,0.001,9.622881299990695
6.0,1.204879008139236,1.7429798199580266,0.001,7.716417699994054
7.0,1.2487735842602163,1.67072594165802,0.001,8.384874800045509
8.0,1.1886660343484035,1.5909957152146559,0.001,8.642777499975637
9.0,1.1788869911356816,1.6113455433111925,0.0005,8.784847699978855
10.0,1.1749795252763773,1.574112566617819,0.0005,7.396989699976984
11.0,1.112651236449616,1.6474632620811462,0.0005,7.7475621000048704
12.0,1.0915137355840658,1.6118290653595557,0.0005,9.112042600056157
13.0,1.1003197869168053,1.6855734586715698,0.0005,8.196209999965504
14.0,1.1277799500694758,1.8397227984208326,0.0005,7.6344631999963894
15.0,1.0994586027875732,1.6494125173642085,0.0005,8.036699899996165
16.0,1.1246075545307956,1.4388669591683607,0.0005,7.616814400011208
17.0,1.0581658927700188,1.765716905777271,0.0005,8.379400700039696
18.0,1.0390448770191096,1.6496401337476878,0.0005,6.657543600013014
19.0,1.0670495704759526,1.5891195352260883,0.0005,7.484400500019547
20.0,1.035272405117373,1.7797800302505493,0.0005,7.064807900052983
21.0,1.052016197126123,1.762912860283485,0.0005,6.921599799999967
22.0,1.0420438866072064,1.611548662185669,0.0005,11.68746490002377
23.0,0.9918053093590314,1.4986256544406598,0.00025,14.376830499968491
24.0,0.9505877860739261,1.7840542105528026,0.00025,6.3810937000089325
25.0,0.9546129007505465,1.8764374668781574,0.00025,5.532801299996208
26.0,0.9385484894619712,2.0014366782628574,0.00025,5.815261100011412
27.0,0.9151851719693292,1.834701052078834,0.00025,5.655940900032874
28.0,0.9095851198027406,1.7104089489349952,0.00025,6.5456148000084795
29.0,0.9016300979294355,1.7892084580201368,0.00025,6.091304300003685
30.0,0.8800031554095352,1.8699992023981535,0.000125,5.71215310000116
31.0,0.8926310311012631,1.9999486666459303,0.000125,5.543657400005031
32.0,0.834482017574431,2.1385470926761627,0.000125,5.98732580000069
33.0,0.8495277856724172,2.3489716671980343,0.000125,5.580592400045134
34.0,0.8751626744677748,2.0364732146263123,0.000125,5.897876999981236
35.0,0.8446572862471207,2.0331854866101193,0.000125,6.802663099952042
36.0,0.8312811496891553,2.0564108536793637,0.000125,5.6950286000501364
