endpoint,model,seed,status,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp
herg_blockade,logistic_regression,20260723,completed,2058,0.5131195335276968,0.5,0.7804107693703501,0.7870462736852925,0.4389341057784724,0.7191448007774538,0.7195126791870803,0.7054924242424242,0.7335329341317365,0.7361660079051383,0.7205029013539652,0.235180693713712,0.19624279590415508,1.141051807526754,0.5378787878787878,0.6735668789808917,735,267,311,745
herg_blockade,random_forest,20260723,completed,2058,0.5131195335276968,0.5,0.8488463414080929,0.8698024137699202,0.5637419404608447,0.7808551992225462,0.7816611095989838,0.7509469696969697,0.812375249500998,0.8083588175331294,0.7785959744722631,0.15973811835964474,0.0571591069615049,0.4877864881011485,0.7623106060606061,0.7788018433179723,814,188,263,793
ames_mutagenicity,logistic_regression,20260723,completed,1070,0.6018691588785047,0.5,0.6891348088531187,0.7354914578206713,0.30105304706663927,0.6616822429906543,0.6517984719913685,0.7003105590062112,0.6032863849765259,0.7274193548387097,0.7136075949367089,0.31576816744271674,0.3006132369276826,2.8402405159618205,0.0,0.6898395721925134,257,169,193,451
ames_mutagenicity,random_forest,20260723,completed,1070,0.6018691588785047,0.5,0.8502992593240603,0.8920048309715102,0.5564492357575873,0.788785046728972,0.7760621701221824,0.8385093167701864,0.7136150234741784,0.8157099697885196,0.8269525267993875,0.15658008328852702,0.06165522690874839,0.4789994282503118,0.860248447204969,0.8368336025848142,304,122,104,540
SR-p53,logistic_regression,20260723,completed,859,0.08149010477299184,0.5,0.6091888466413181,0.18566019552739388,0.12228324357059535,0.8451688009313155,0.5707314865109542,0.24285714285714285,0.8986058301647655,0.17525773195876287,0.20359281437125748,0.13026003874132197,0.1353189406280103,0.8868419608819844,0.0,0.08722741433021806,709,80,53,17
SR-p53,random_forest,20260723,completed,859,0.08149010477299184,0.5,0.7207948578671013,0.22461304361248807,0.11745685139577632,0.9150174621653085,0.524135433641137,0.05714285714285714,0.991128010139417,0.36363636363636365,0.09876543209876543,0.07155005579580694,0.031403100043766605,0.2633269549786486,0.0,0.12694877505567928,782,7,66,4
SR-ATAD5,logistic_regression,20260723,completed,919,0.046789989118607184,0.5,0.637888924285866,0.06571014076829383,-0.0008310204326117213,0.8890097932535365,0.4994955930763513,0.06976744186046512,0.9292237442922374,0.046153846153846156,0.05555555555555555,0.08910474872475653,0.09479216144392008,0.5431133822979846,0.0,0.06896551724137931,814,62,40,3
SR-ATAD5,random_forest,20260723,completed,919,0.046789989118607184,0.5,0.708280237867686,0.12429381689692601,-0.007312415054782308,0.9521218715995647,0.4994292237442922,0.0,0.9988584474885844,0.0,0.0,0.04397968844575821,0.010802883589058652,0.1773950181044275,0.0,0.0691699604743083,875,1,43,0
SR-ARE,logistic_regression,20260723,completed,743,0.23553162853297444,0.5,0.6434808853118712,0.36181196838889035,0.17902966889162075,0.6716016150740243,0.5974094567404427,0.45714285714285713,0.7376760563380281,0.34934497816593885,0.39603960396039606,0.2960867979249737,0.2918600399725363,2.220468371411505,0.0,0.29227557411273486,419,149,95,80
SR-ARE,random_forest,20260723,completed,743,0.23553162853297444,0.5,0.7463531187122736,0.4773621590993825,0.28457534902990766,0.7900403768506057,0.5799849094567404,0.18285714285714286,0.977112676056338,0.7111111111111111,0.2909090909090909,0.1548814199753668,0.03541830437435973,0.47348300384238495,0.022857142857142857,0.35121951219512193,555,13,143,32
SR-MMP,logistic_regression,20260723,completed,754,0.2480106100795756,0.5,0.735888294711824,0.4807137748969883,0.2961605698249197,0.726790450928382,0.6534815946580652,0.5080213903743316,0.798941798941799,0.45454545454545453,0.4797979797979798,0.23549207337382078,0.22080401661783558,1.455612379016735,0.0,0.3578199052132701,453,114,92,95
SR-MMP,random_forest,20260723,completed,754,0.2480106100795756,0.5,0.8223552047081458,0.6268195305301814,0.4286978307415678,0.8037135278514589,0.6902922785275727,0.46524064171123,0.9153439153439153,0.6444444444444445,0.5403726708074534,0.13997533432429307,0.05729783165829252,0.43432759275362487,0.26737967914438504,0.42134831460674155,519,48,100,87
herg_blockade,logistic_regression,20260724,completed,2131,0.5218207414359456,0.5,0.7662669177709843,0.7828929617938496,0.40795860705326764,0.7038948850305021,0.7041711086479198,0.697841726618705,0.7105004906771345,0.7245564892623716,0.7109482363719651,0.24681383843842716,0.21058380188263798,1.1499180442757948,0.5359712230215827,0.6573116691285081,724,295,336,776
herg_blockade,random_forest,20260724,completed,2131,0.5218207414359456,0.5,0.8532535600567632,0.8672912210587942,0.558109200407904,0.7770999530736743,0.7788700835210144,0.7383093525179856,0.8194308145240432,0.8169154228855722,0.7756258856872933,0.1601858184290453,0.062379098060703096,0.48789197460958295,0.7535971223021583,0.7800175284837861,835,184,291,821
ames_mutagenicity,logistic_regression,20260724,completed,1067,0.6063730084348641,0.5,0.661430043423861,0.728168479221202,0.23984438074372022,0.6241799437675727,0.6224442481784058,0.6306027820710973,0.6142857142857143,0.7157894736842105,0.6705012325390304,0.3522702923102363,0.34561833287503524,3.1546163637641844,0.24884080370942813,0.6788036410923277,258,162,239,408
ames_mutagenicity,random_forest,20260724,completed,1067,0.6063730084348641,0.5,0.8092551703834547,0.8643193256843803,0.4534398564794786,0.7347703842549204,0.7295061455803342,0.7542503863987635,0.7047619047619048,0.7973856209150327,0.7752184273232724,0.17461535512323795,0.04471981785534213,0.5211625520585464,0.7418856259659969,0.7816265060240963,296,124,159,488
SR-p53,logistic_regression,20260724,completed,777,0.0978120978120978,0.5,0.6365624296118327,0.15374959856101236,0.1091212098891211,0.8288288288288288,0.5590603648922592,0.2236842105263158,0.8944365192582026,0.18681318681318682,0.20359281437125748,0.15045882364757132,0.1508738045283578,0.956737631480669,0.0,0.130879345603272,627,74,59,17
SR-p53,random_forest,20260724,completed,777,0.0978120978120978,0.5,0.7542796005706134,0.2584064907298432,0.08582739462931704,0.8983268983268984,0.5154572415346498,0.039473684210526314,0.9914407988587732,0.3333333333333333,0.07058823529411765,0.08124654250018785,0.024124978413735076,0.28536398076194913,0.0,0.17994100294985252,695,6,73,3
SR-ATAD5,logistic_regression,20260724,completed,839,0.060786650774731825,0.5,0.6248133771275008,0.10849292685364854,0.01323622149298648,0.8831942789034565,0.5068552801831392,0.0784313725490196,0.9352791878172588,0.07272727272727272,0.07547169811320754,0.10068675371145451,0.09786136903629088,0.6630330641725741,0.0196078431372549,0.08023483365949119,737,51,47,4
SR-ATAD5,random_forest,20260724,completed,839,0.060786650774731825,0.5,0.6978451278988752,0.15811732842257126,-0.008788200769882732,0.9380214541120382,0.4993654822335025,0.0,0.998730964467005,0.0,0.0,0.05522059094159733,0.012030987365911796,0.22952882722489834,0.0,0.08414872798434442,787,1,51,0
SR-ARE,logistic_regression,20260724,completed,663,0.22926093514328807,0.5,0.6471830260582963,0.37873099997076554,0.19460201777891448,0.7073906485671192,0.5998751158718715,0.40131578947368424,0.7984344422700587,0.3719512195121951,0.3860759493670886,0.26319916558160755,0.2552630147147101,1.9884202899156045,0.0,0.27539503386004516,408,103,91,61
SR-ARE,random_forest,20260724,completed,663,0.22926093514328807,0.5,0.7638273766608302,0.4785883676334332,0.23854821977933563,0.7858220211161387,0.5675597383870635,0.16447368421052633,0.9706457925636007,0.625,0.2604166666666667,0.15056757302398574,0.05096625797055858,0.46039662590702674,0.05921052631578947,0.3867924528301887,496,15,127,25
SR-MMP,logistic_regression,20260724,completed,639,0.27856025039123633,0.5,0.7549538131565479,0.5715834981973448,0.3670671530234162,0.7464788732394366,0.6828950254697896,0.5393258426966292,0.8264642082429501,0.5454545454545454,0.5423728813559322,0.22073645150462498,0.20556367650460106,1.4826996048934593,0.1348314606741573,0.4010989010989011,381,80,82,96
SR-MMP,random_forest,20260724,completed,639,0.27856025039123633,0.5,0.8273050768968291,0.6667141308786905,0.38609159469947824,0.7793427230046949,0.6504911160398743,0.3595505617977528,0.9414316702819957,0.7032967032967034,0.4758364312267658,0.14595741744620092,0.0370067375917687,0.44580071874615634,0.25842696629213485,0.48639455782312924,434,27,114,64
herg_blockade,logistic_regression,20260725,completed,2077,0.5103514684641309,0.5,0.7507022133170071,0.7416463104612719,0.3730240191564347,0.6865671641791045,0.6865424574683215,0.6877358490566038,0.6853490658800393,0.6949475691134414,0.6913229018492176,0.2577779386383301,0.2219787201002939,1.2459101782492752,0.3613207547169811,0.6566125290023201,697,320,331,729
herg_blockade,random_forest,20260725,completed,2077,0.5103514684641309,0.5,0.8555485983562457,0.8572458146571016,0.5614833787265066,0.7804525758305247,0.7807573143355411,0.7660377358490567,0.7954768928220256,0.796078431372549,0.7807692307692308,0.15892157084009623,0.06392362191424565,0.48461372809729525,0.7584905660377359,0.7589285714285714,809,208,248,812
ames_mutagenicity,logistic_regression,20260725,completed,1040,0.5980769230769231,0.5,0.6932760504007753,0.7417711872626479,0.2724039881541657,0.6461538461538462,0.6374867305650855,0.6816720257234726,0.5933014354066986,0.7138047138047138,0.6973684210526315,0.32004771186874725,0.30940324103075595,2.8235651491065314,0.2315112540192926,0.691156462585034,248,170,198,424
ames_mutagenicity,random_forest,20260725,completed,1040,0.5980769230769231,0.5,0.8220376467330266,0.8685709101441059,0.4977962513943598,0.7586538461538461,0.7487999815381775,0.7990353697749196,0.6985645933014354,0.797752808988764,0.7983935742971887,0.17046343197787178,0.058650207100957405,0.5136271437383539,0.7990353697749196,0.7955271565495208,292,126,125,497
SR-p53,logistic_regression,20260725,completed,882,0.09523809523809523,0.5,0.6299230218403151,0.19754135911963946,0.1483817608055234,0.8390022675736961,0.5808270676691729,0.2619047619047619,0.899749373433584,0.21568627450980393,0.23655913978494625,0.14324400101036097,0.1437981831254781,0.9851606058312653,0.023809523809523808,0.10828025477707007,718,80,62,22
SR-p53,random_forest,20260725,completed,882,0.09523809523809523,0.5,0.7644557823129251,0.3081735852641322,0.12860059301063126,0.9024943310657596,0.525375939849624,0.05952380952380952,0.9912280701754386,0.4166666666666667,0.10416666666666667,0.07699910642815264,0.024736368141741082,0.27293548053447136,0.023809523809523808,0.17302798982188294,791,7,79,5
SR-ATAD5,logistic_regression,20260725,completed,935,0.05561497326203209,0.5,0.7178543427127799,0.14620863902842546,0.18589311064785,0.9026737967914439,0.6046040595870721,0.2692307692307692,0.9399773499433749,0.208955223880597,0.23529411764705882,0.08484445888606715,0.0896087763647648,0.5622407327636614,0.0,0.08860759493670886,830,53,38,14
SR-ATAD5,random_forest,20260725,completed,935,0.05561497326203209,0.5,0.7647987629584458,0.21906576792798998,0.129464072872435,0.9422459893048128,0.5260148967680112,0.057692307692307696,0.9943374858437146,0.375,0.1,0.048322601069518925,0.00984813037433155,0.1864194961924643,0.0,0.09610983981693363,878,5,49,3
SR-ARE,logistic_regression,20260725,completed,758,0.23746701846965698,0.5,0.6648212226066899,0.38531555089041813,0.22165447881022732,0.6992084432717678,0.6172337562475971,0.46111111111111114,0.773356401384083,0.3878504672897196,0.4213197969543147,0.2652640862537388,0.2633287324614274,2.0435130599059543,0.0,0.2813102119460501,447,131,97,83
SR-ARE,random_forest,20260725,completed,758,0.23746701846965698,0.5,0.7577470203767782,0.461724599218901,0.18480426106403225,0.7691292875989446,0.5502306805074971,0.13333333333333333,0.967128027681661,0.5581395348837209,0.21524663677130046,0.15537263739980015,0.03782087380369172,0.4734895368019371,0.027777777777777776,0.38421052631578945,559,19,156,24
SR-MMP,logistic_regression,20260725,completed,757,0.25495376486129456,0.5,0.7492880241061257,0.49334677220850554,0.3077520945830963,0.7291941875825627,0.658072428618675,0.5129533678756477,0.8031914893617021,0.4714285714285714,0.4913151364764268,0.22698948458860765,0.22414982382634163,1.4576693209715157,0.0,0.37170263788968827,453,111,94,99
SR-MMP,random_forest,20260725,completed,757,0.25495376486129456,0.5,0.82031106456473,0.6152089867283852,0.4427885589140356,0.8044914134742405,0.6966753022452504,0.47668393782383417,0.9166666666666666,0.6618705035971223,0.5542168674698795,0.14202979992178924,0.04296473171140738,0.4392563076003058,0.16062176165803108,0.4626865671641791,517,47,101,92
herg_blockade,logistic_regression,20260726,completed,2165,0.4725173210161663,0.5,0.7455309835260121,0.71011790018396,0.36017817036196775,0.6808314087759815,0.6801952637498652,0.6686217008797654,0.691768826619965,0.6602316602316602,0.6644001942690626,0.25848410175463127,0.2238537978436412,1.1992645965321773,0.24633431085043989,0.6079881656804734,790,352,339,684
herg_blockade,random_forest,20260726,completed,2165,0.4725173210161663,0.5,0.8287975512426109,0.8149979143172477,0.5138317943170159,0.7579676674364896,0.7562156221271525,0.7243401759530792,0.7880910683012259,0.7538148524923703,0.7387836490528414,0.17164081025577635,0.05669545353704161,0.5163074690523177,0.6099706744868035,0.7029109589041096,900,242,282,741
ames_mutagenicity,logistic_regression,20260726,completed,1022,0.6115459882583171,0.5,0.6424080604534005,0.7105769644472432,0.21525323997770157,0.6252446183953033,0.608143073047859,0.6848,0.5314861460957179,0.6970684039087948,0.6908797417271993,0.34979237446774064,0.3388195726397998,3.08728157706193,0.0,0.6811989100817438,211,186,197,428
ames_mutagenicity,random_forest,20260726,completed,1022,0.6115459882583171,0.5,0.83503879093199,0.8783413620491396,0.5400021567474904,0.7837573385518591,0.7662287153652393,0.8448,0.6876574307304786,0.8098159509202454,0.826938136256852,0.16190405900431554,0.0655467624289848,0.4942424131473466,0.8592,0.828099173553719,273,124,97,528
SR-p53,logistic_regression,20260726,completed,806,0.07816377171215881,0.5,0.6194535238949774,0.15796206335748134,0.12055820131149672,0.825062034739454,0.5782541818880984,0.2857142857142857,0.8707940780619112,0.15789473684210525,0.2033898305084746,0.1541243706756617,0.16127029267895823,0.9829138523948463,0.0,0.08873720136518772,647,96,45,18
SR-p53,random_forest,20260726,completed,806,0.07816377171215881,0.5,0.7617765814266486,0.31392528958939675,0.17613988220381036,0.9218362282878412,0.5363178021320686,0.07936507936507936,0.9932705248990579,0.5,0.136986301369863,0.06516187300197532,0.04955487345520368,0.2464394476132921,0.015873015873015872,0.1452991452991453,738,5,58,5
