endpoint,model,metric,runs,mean,std,ci95_lower,ci95_upper
SR-ARE,logistic_regression,roc_auc,5,0.6606207225282021,0.014490483544809812,0.6426284107940478,0.6786130342623565
SR-ARE,logistic_regression,pr_auc,5,0.37342803768007765,0.009153720551583276,0.3620621924215588,0.3847938829385965
SR-ARE,logistic_regression,mcc,5,0.21016894922931048,0.0273904424487422,0.17615922294583508,0.24417867551278588
SR-ARE,logistic_regression,balanced_accuracy,5,0.6094424455258592,0.0130119468838243,0.5932859795336749,0.6255989115180436
SR-ARE,logistic_regression,sensitivity,5,0.43388758371428465,0.031164997415531793,0.39519112841930537,0.47258403900926393
SR-ARE,logistic_regression,specificity,5,0.784997307337434,0.030013784232290543,0.747730272006343,0.822264342668525
SR-ARE,logistic_regression,precision,5,0.38156126772550547,0.02595066037596625,0.34933926700705514,0.4137832684439558
SR-ARE,logistic_regression,f1,5,0.4053774725331401,0.021825568768742087,0.37827744955267256,0.43247749551360765
SR-ARE,logistic_regression,brier,5,0.2640679100462462,0.019803788357577352,0.2394782590145955,0.28865756107789686
SR-ARE,logistic_regression,ece,5,0.25838260152739867,0.021196048403693383,0.23206423132034817,0.28470097173444914
SR-ARE,logistic_regression,nll,5,2.0386215427118577,0.1098120857603627,1.902271829255551,2.1749712561681647
SR-ARE,logistic_regression,recall_at_precision_0.80,5,0.0,0.0,0.0,0.0
SR-ARE,logistic_regression,precision_at_recall_0.80,5,0.28660616756267,0.010559218755732805,0.2734951657845186,0.2997171693408214
SR-ARE,random_forest,roc_auc,5,0.75597985154345,0.006375110883712752,0.7480641058745869,0.7638955972123131
SR-ARE,random_forest,pr_auc,5,0.48531891371502667,0.019998613103392026,0.4604873558105387,0.5101504716195147
SR-ARE,random_forest,mcc,5,0.2551187460818682,0.05040206322578364,0.19253631873922267,0.3177011734245137
SR-ARE,random_forest,balanced_accuracy,5,0.5692152598512318,0.014544727101329712,0.5511555958458121,0.5872749238566515
SR-ARE,random_forest,sensitivity,5,0.1620194504058432,0.02487717426563568,0.13113035874316215,0.19290854206852426
SR-ARE,random_forest,specificity,5,0.9764110692966206,0.0074828936400123626,0.9671198296614293,0.9857023089318119
SR-ARE,random_forest,precision,5,0.678155684754522,0.08644061983011915,0.5708254791290445,0.7854858903799996
