molecule_id,standardized_smiles,inchikey,scaffold,scaffold_split,random_split
PMWZSLRPVRCNKM-UHFFFAOYSA-N,Fc1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1F,PMWZSLRPVRCNKM-UHFFFAOYSA-N,c1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1,train,validation
IOVNPTLMMFSPCO-UHFFFAOYSA-N,COc1cc(N2Cc3ccc(Sc4ccc(F)cc4)nc3C2=O)ccc1OCCN1CCCC1,IOVNPTLMMFSPCO-UHFFFAOYSA-N,O=C1c2nc(Sc3ccccc3)ccc2CN1c1ccc(OCCN2CCCC2)cc1,train,train
BSPCGOZVENCINN-AKAXFMLLSA-N,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C(N)=O)c4ccc(C(F)(F)F)cc34)C2)CC1,BSPCGOZVENCINN-AKAXFMLLSA-N,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCCCC2)C1,train,train
UQBOMAVTFFNGLT-PVARCSIZSA-N,N[C@@H](Cn1c(=O)cnc2ccc(F)cc21)C1CCC(NCc2ccc3c(n2)NC(=O)CO3)CC1,UQBOMAVTFFNGLT-PVARCSIZSA-N,O=C1COc2ccc(CNC3CCC(CCn4c(=O)cnc5ccccc54)CC3)nc2N1,train,train
DEYZGKXTVSBRIY-UHFFFAOYSA-N,O=C(NC1COc2cccc(-c3ccnc(CO)c3)c2C1)c1ccc(OCC(F)(F)F)nc1,DEYZGKXTVSBRIY-UHFFFAOYSA-N,O=C(NC1COc2cccc(-c3ccncc3)c2C1)c1cccnc1,train,train
KIMQVFJKYTXAFU-VIFPVBQESA-N,Cc1cc(Nc2cncc(N[C@@H](C)c3ncc(F)cn3)n2)n[nH]1,KIMQVFJKYTXAFU-VIFPVBQESA-N,c1cnc(CNc2cncc(Nc3cc[nH]n3)n2)nc1,train,test
GQVYKIIUGCRTNL-UHFFFAOYSA-N,C[N+]1CC[N+](CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,GQVYKIIUGCRTNL-UHFFFAOYSA-N,c1ccc2c(c1)Sc1ccccc1N2CCC[N+]1CC[NH+]CC1,validation,train
LXMSZDCAJNLERA-UHFFFAOYSA-N,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,LXMSZDCAJNLERA-UHFFFAOYSA-N,O=C1C=C2CCC3C(CCC4C3CCC43CCC(=O)O3)C2CC1,train,train
KHWFDRKDQCSBEW-UHFFFAOYSA-N,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,KHWFDRKDQCSBEW-UHFFFAOYSA-N,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,train,train
PWSITNMVZZIHAY-UHFFFAOYSA-N,COc1ccc(-c2cc(-c3ccc(C(=O)N(C)C)cc3)cnc2N)cn1,PWSITNMVZZIHAY-UHFFFAOYSA-N,c1ccc(-c2cncc(-c3cccnc3)c2)cc1,train,train
