endpoint,scaffold,records,positives,prevalence
SR-ARE,,1713,135,0.09189925119128659
SR-ARE,c1ccccc1,1456,141,0.11691542288557213
SR-ARE,c1ccncc1,88,7,0.0945945945945946
SR-ARE,c1ccc(Cc2ccccc2)cc1,81,15,0.28846153846153844
SR-ARE,c1ccc2ccccc2c1,66,11,0.20754716981132076
SR-ARE,C1CCCCC1,63,2,0.03636363636363636
SR-ARE,c1ccc(Oc2ccccc2)cc1,44,8,0.21621621621621623
SR-ARE,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,43,8,0.34782608695652173
SR-ARE,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,41,3,0.12
SR-ARE,C1=CCCCC1,38,3,0.0967741935483871
SR-ARE,c1ccc(-c2ccccc2)cc1,38,11,0.3142857142857143
SR-ARE,O=C(c1ccccc1)c1ccccc1,36,5,0.2
SR-ARE,c1ccc2ncccc2c1,33,6,0.25
SR-ARE,c1ccc(Nc2ccccc2)cc1,29,7,0.35
SR-ARE,c1ccc2[nH]ccc2c1,27,2,0.09090909090909091
SR-ARE,c1ccoc1,26,8,0.36363636363636365
SR-ARE,c1ncncn1,26,2,0.08
SR-ARE,O=C(Nc1ccccc1)c1ccccc1,23,5,0.45454545454545453
SR-ARE,O=C1c2ccccc2C(=O)c2ccccc21,23,16,0.8421052631578947
SR-ARE,C1CO1,21,0,0.0
SR-ARE,C1CCOCC1,20,0,0.0
SR-ARE,c1ccc2scnc2c1,19,6,0.46153846153846156
SR-ARE,c1c[nH]cn1,18,0,0.0
SR-ARE,c1cncnc1,18,2,0.15384615384615385
SR-ARE,c1ccc2c(c1)OCO2,17,2,0.13333333333333333
SR-ARE,c1cscn1,17,1,0.058823529411764705
SR-ARE,C1CCNCC1,16,0,0.0
SR-ARE,c1ccc2c(c1)CCC1C2CCC2CCCC21,16,2,0.2222222222222222
SR-ARE,c1ccc2c(c1)Nc1ccccc1S2,15,0,0.0
SR-ARE,C1COCCN1,14,0,0.0
SR-ARE,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,14,0,0.0
SR-ARE,c1ccc(N=Nc2ccccc2)cc1,14,11,0.8461538461538461
SR-ARE,O=C1CCCN1,13,0,0.0
SR-ARE,O=c1ccn(C2CCCO2)c(=O)[nH]1,13,1,0.125
SR-ARE,c1c[nH+]c[nH]1,13,6,0.5
SR-ARE,c1ccc2[nH]cnc2c1,13,1,0.09090909090909091
SR-ARE,C1=CC(c2ccccc2)C=CN1,12,3,0.375
SR-ARE,C1CCOC1,12,1,0.1
SR-ARE,O=C1CCCCC1,12,0,0.0
SR-ARE,O=C1CCCO1,12,0,0.0
SR-ARE,c1cc[nH+]cc1,12,2,0.2222222222222222
SR-ARE,c1ccc2c(c1)Cc1ccccc1-2,12,5,0.5555555555555556
SR-ARE,c1ncc2ncn(C3CCCO3)c2n1,12,4,0.4
SR-ARE,C(=Cc1ccccc1)c1ccccc1,11,4,0.5714285714285714
SR-ARE,C1CC2CCC1C2,11,0,0.0
SR-ARE,C1CNCCN1,11,1,0.09090909090909091
SR-ARE,O=C1NC(=O)c2ccccc21,11,3,0.3
SR-ARE,O=c1ccc2ccccc2o1,11,0,0.0
SR-ARE,c1ccc2cc3ccccc3cc2c1,11,3,0.42857142857142855
SR-ARE,c1cnccn1,11,2,0.18181818181818182
SR-ARE,C1CCC2C(C1)CCC1C3CCCC3CCC21,10,1,0.2
SR-ARE,C1CCNC1,10,0,0.0
SR-ARE,O=C(Oc1ccccc1)c1ccccc1,10,0,0.0
SR-ARE,O=S(=O)(c1ccccc1)c1ccccc1,10,0,0.0
SR-ARE,c1ccc(Sc2ccccc2)cc1,10,1,0.14285714285714285
SR-ARE,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,9,0,0.0
SR-ARE,O=C1CNC(=O)N1,9,1,0.14285714285714285
SR-ARE,c1ccc(N=Nc2cccc3ccccc23)cc1,9,2,0.2857142857142857
SR-ARE,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,9,0,0.0
SR-ARE,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,8,0,0.0
SR-ARE,O=C(NCC1CCCN1)c1ccccc1,8,0,0.0
SR-ARE,O=C1C=CCCC1,8,0,0.0
SR-ARE,O=C1CC(=O)NC(=O)N1,8,0,0.0
SR-ARE,O=C1CN=C(c2ccccc2)c2ccccc2N1,8,0,0.0
SR-ARE,O=S1(=O)NCNc2ccccc21,8,1,0.16666666666666666
SR-ARE,O=c1cc(-c2ccccc2)oc2ccccc12,8,4,0.6666666666666666
SR-ARE,C1CCCC1,7,1,0.25
SR-ARE,C=C1CCCCC1=CC=C1CCCC2CCCC12,7,2,1.0
SR-ARE,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,7,0,0.0
SR-ARE,O=C1C=CC(=O)C=C1,7,2,0.5
SR-ARE,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,7,1,0.16666666666666666
SR-ARE,O=S(=O)(Nc1ncccn1)c1ccccc1,7,0,0.0
SR-ARE,O=c1cc[nH]n1-c1ccccc1,7,0,0.0
SR-ARE,c1ccc(CCc2ccccc2)cc1,7,1,0.2
SR-ARE,c1ccc(Cc2ccccn2)cc1,7,0,0.0
SR-ARE,c1ccc(N2CCNCC2)cc1,7,3,0.42857142857142855
SR-ARE,c1ccc2c(c1)ccc1ccccc12,7,0,0.0
SR-ARE,c1ccsc1,7,1,0.16666666666666666
